2.271689940241203298e-02 1.853931579356077330e-02 1.546252743377082503e-02 1.310744214803204882e-02 1.120762835645889785e-02 9.637752694388308436e-03 8.292835990792862821e-03 7.191386946359173450e-03 6.268007817245970469e-03 5.491149320727399356e-03 4.850029638156101372e-03 4.338990804921627649e-03 3.948377461430768037e-03 3.645407168123395662e-03 3.417511372949358708e-03 3.237818342594941511e-03 3.077644286214971468e-03 2.948804884855427827e-03 2.800425704782470281e-03 2.583334307854201397e-03 2.331848025829617171e-03 2.074581384964786866e-03 1.798652431010423726e-03 1.444040911020605909e-03 9.330793159019011703e-04
1.853931579356077330e-02 1.657115030526298480e-02 1.457085528338611727e-02 1.273931528470958682e-02 1.109914389500137044e-02 9.674895707177678592e-03 8.403417379821117097e-03 7.324154304368441296e-03 6.396931697297273539e-03 5.601479383593218307e-03 4.941218950528299125e-03 4.401479444619201507e-03 3.964070003826825235e-03 3.609597998026208530e-03 3.347070379665633734e-03 3.155505695950870573e-03 3.006701119862509753e-03 2.903630532966538016e-03 2.806465113654063766e-03 2.663122739058717842e-03 2.477441362691356914e-03 2.262827196642918336e-03 1.967609777721298758e-03 1.513955569197344628e-03 7.999728832650508659e-04
1.546252743377082503e-02 1.457085528338611727e-02 1.343354867604278427e-02 1.217832362758089135e-02 1.090425666295971249e-02 9.707412216721790152e-03 8.582643092121963746e-03 7.582282291148145607e-03 6.687193202124182972e-03 5.898624442023347493e-03 5.234615592272113919e-03 4.676538260978672749e-03 4.206175060429773530e-03 3.816585503566158766e-03 3.526900464523470818e-03 3.319722697997508527e-03 3.171901415332850985e-03 3.082588034531682022e-03 3.015416605461749677e-03 2.910029323124009928e-03 2.753641725424971209e-03 2.542725798545698770e-03 2.215998834552034523e-03 1.689768786424206267e-03 8.498776638250504518e-04
1.310744214803204882e-02 1.273931528470958682e-02 1.217832362758089135e-02 1.144476758012611360e-02 1.057080027282017790e-02 9.644463642089555824e-03 8.704086111651373678e-03 7.816450765905726822e-03 6.981482329287287333e-03 6.220435598892964588e-03 5.563035032992546224e-03 4.995274880622700697e-03 4.503508558707357105e-03 4.087630109723758808e-03 3.772768747230105611e-03 3.546004953043620320e-03 3.388142766640087587e-03 3.299134623583440534e-03 3.239879409126177143e-03 3.140387605851435119e-03 2.982014831993170384e-03 2.750286307005778662e-03 2.383723449755441575e-03 1.810503685048787861e-03 9.285961843446443242e-04
1.120762835645889785e-02 1.109914389500137044e-02 1.090425666295971249e-02 1.057080027282017790e-02 1.007571454195523887e-02 9.445409129230839668e-03 8.725469176906563637e-03 7.987072630887928279e-03 7.246184900744543321e-03 6.540129494809271242e-03 5.908251789153697031e-03 5.345624916603807820e-03 4.846930326438237714e-03 4.416007895352679589e-03 4.080190221568611580e-03 3.831092113651655279e-03 3.653043527298548056e-03 3.549317390826168921e-03 3.481542092251137081e-03 3.373697700993141726e-03 3.206142626557718402e-03 2.957728248977264333e-03 2.562929059722118125e-03 1.960410981728936963e-03 1.069691250862173483e-03
9.637752694388308436e-03 9.674895707177678592e-03 9.707412216721790152e-03 9.644463642089555824e-03 9.445409129230839668e-03 9.090159361711973307e-03 8.602866518032981774e-03 8.039585079179477345e-03 7.424522164596463435e-03 6.803601482521166519e-03 6.221324887112334411e-03 5.682925387656862469e-03 5.192251053479445856e-03 4.756627438925356381e-03 4.404182657686338091e-03 4.129770041453828706e-03 3.920279325386986924e-03 3.784169543195851134e-03 3.688102502530024498e-03 3.554928214916094637e-03 3.366224212836945676e-03 3.098273235860889326e-03 2.676590108669601054e-03 2.049469745990363176e-03 1.154865172933348559e-03
8.292835990792862821e-03 8.403417379821117097e-03 8.582643092121963746e-03 8.704086111651373678e-03 8.725469176906563637e-03 8.602866518032981774e-03 8.344953258898514178e-03 7.977024687760811070e-03 7.518093990889840664e-03 7.014385610436354827e-03 6.510376485141404490e-03 6.019064578424179399e-03 5.552860049607835809e-03 5.123359500552607249e-03 4.760037059143448768e-03 4.460104539820003260e-03 4.213760028948767417e-03 4.036486998205595159e-03 3.901271790519971524e-03 3.732385671606529461e-03 3.513519810600048126e-03 3.222460818715340656e-03 2.775733205148861720e-03 2.129710425355577086e-03 1.245241899734762184e-03
7.191386946359173450e-03 7.324154304368441296e-03 7.582282291148145607e-03 7.816450765905726822e-03 7.987072630887928279e-03 8.039585079179477345e-03 7.977024687760811070e-03 7.801882184307462956e-03 7.516902658303697797e-03 7.156220344654505919e-03 6.757075530047737012e-03 6.336501750127865665e-03 5.913873070555732310e-03 5.505975160143077377e-03 5.144723700721685888e-03 4.829350222410535784e-03 4.554262309608840195e-03 4.342749878987043656e-03 4.174277536794785380e-03 3.975707772180346773e-03 3.731672551318386023e-03 3.424213592501291689e-03 2.963505915681733088e-03 2.312037106458372359e-03 1.462286676386778325e-03
6.268007817245970469e-03 6.396931697297273539e-03 6.687193202124182972e-03 6.981482329287287333e-03 7.246184900744543321e-03 7.424522164596463435e-03 7.518093990889840664e-03 7.516902658303697797e-03 7.413015813301791594e-03 7.218817521065849958e-03 6.953224813452883214e-03 6.631242609260791857e-03 6.275876988208868579e-03 5.908195943331911483e-03 5.564775667387379839e-03 5.248638958210463147e-03 4.958763043698657252e-03 4.726248347963962933e-03 4.535123815583770937e-03 4.314384319680729905e-03 4.051424931330638995e-03 3.733691864531381733e-03 3.267855402944017194e-03 2.624330982418992316e-03 1.824866039825965951e-03
5.491149320727399356e-03 5.601479383593218307e-03 5.898624442023347493e-03 6.220435598892964588e-03 6.540129494809271242e-03 6.803601482521166519e-03 7.014385610436354827e-03 7.156220344654505919e-03 7.218817521065849958e-03 7.199425774316410218e-03 7.090251202331364876e-03 6.893816515060922391e-03 6.632152453091546586e-03 6.328770632251181152e-03 6.024749604781937454e-03 5.728281465648920462e-03 5.443347984852283349e-03 5.207410191604367779e-03 5.005507345256219633e-03 4.768672215881857371e-03 4.490430025483207674e-03 4.163554817697420057e-03 3.694864753355511181e-03 3.061427325946650124e-03 2.309440490057048170e-03
